Qualification,Experience,Rating,Place,Profile,Miscellaneous_Info,Fees
"BDS, MDS",16 years experience,,"Vadavalli, Coimbatore",Dentist,,100
"Diploma in Dermatology, MBBS",15 years experience,97%,"Defence Colony, Delhi",Dermatologists,"97% 60 Feedback Defence Colony, Delhi",500
"MBBS, DDVL, Fellowship in Aesthetic Medicine",7 years experience,97%,"Banjara Hills, Hyderabad",Dermatologists,"97% 18 Feedback Banjara Hills, Hyderabad",500
BDS,11 years experience,,"Sion West, Mumbai",Dentist,"Dentistry Sion West, Mumbai ₹500",500
"MBBS, MS - ENT",14 years experience,94%,"CR Park, Delhi",ENT Specialist,Functional Endoscopic Sinus Surgery - FESS Skull Base Surgery Ear Micro Surgery,100
"DM - Neurology, MD - Pediatrics, MBBS",23 years experience,88%,"Mogappair East, Chennai",General Medicine,"88% 2 Feedback Mogappair East, Chennai",500
BAMS,9 years experience,,"IP Extension, Delhi",Ayurveda,,300
"BDS, MDS - Oral & Maxillofacial Surgery, Fellowship in Cleft Lip and Craniofacial Surgery",15 years experience,100%,"Safdarjung Enclave, Delhi",Dentist,Tooth Extraction Impaction / Impacted Tooth Extraction Endo Surgery Or Apicoectomy,400
BDS,10 years experience,,"New Friends Colony, Delhi",Dentist,Dental Fillings RCT - Root Canal Treatment General Dentistry,250
"BHMS, Diploma in Cosmetology",12 years experience,90%,"Borivali West, Mumbai",Homeopath,"90% 2 Feedback Borivali West, Mumbai",300
"MBBS, MS - ENT, DNB - ENT",31 years experience,80%,"Saket, Delhi",ENT Specialist,"80% 3 Feedback Saket, Delhi",100
"MBBS, AFIH",16 years experience,,"Malad, Mumbai",General Medicine,Dermabrasion Wrinkle Treatment Microdermabrasion,100
"BDS, MDS - Prosthodontist And Crown Bridge",8 years experience,100%,"Hyder Nagar, Hyderabad",Dentist,Complete/Partial Dentures Fixing Acrylic Partial Denture Crowns and Bridges Fixing,250
"BHMS, M. D. Hom. (Practice of Medicine)",12 years experience,100%,"Dahisar West, Mumbai",Homeopath,"100% 21 Feedback Dahisar West, Mumbai",500
"BAMS, Diploma in Emergency Medicine, Diploma in Counselling Skills",31 years experience,100%,"RT Nagar, Bangalore",Ayurveda,"100% 7 Feedback RT Nagar, Bangalore",500
BAMS,8 years experience,,"Saroor Nagar, Hyderabad",Ayurveda,,300
"MD - Homeopathy, DHMS (Diploma in Homeopathic Medicine and Surgery)",22 years experience,99%,"Powai, Mumbai",Homeopath,Skin Disease Treatment Endocrine and metabolic diseases Cervical Spondylitis Treatment,500
"MBBS, MD - Dermatology , Venereology & Leprosy",7 years experience,,"Basheerbagh, Hyderabad",Dermatologists,,500
"BDS, MDS - Oral and Maxillofacial Pathology",16 years experience,100%,"Musheerabad, Hyderabad",Dentist,Dental Fillings Tooth Extraction Periodontal Flap Surgery,200
MBBS,31 years experience,,"AS Rao Nagar, Hyderabad",General Medicine,,200
"MBBS, DDVL",8 years experience,93%,"Madhapur, Hyderabad",Dermatologists,"93% 42 Feedback Madhapur, Hyderabad",400
"BDS, MDS - Oral & Maxillofacial Surgery, MFDS RCS",10 years experience,,"Coimbatore Racecourse, Coimbatore",Dentist,,200
MBBS,42 years experience,,"Gandhinagar, Hyderabad",General Medicine,,100
BAMS,9 years experience,,"Chetpet, Chennai",Ayurveda,,150
"MBBS, DDVL",22 years experience,,"Madhapur, Hyderabad",Dermatologists,,650
BDS,10 years experience,100%,"Vileparle East, Mumbai",Dentist,Ceramic Veneers / Crowns Tooth Extraction Dental Fillings,100
BAMS,9 years experience,100%,"KPHB, Hyderabad",Ayurveda,Arthritis Management Infertility Evaluation / Treatment Kerala Massage,300
"MBBS, MS - ENT, MRCS (UK)",25 years experience,36%,"Whitefield, Bangalore",ENT Specialist,"36% 7 Feedback Whitefield, Bangalore",600
BDS,14 years experience,100%,"Yelahanka New Town, Bangalore",Dentist,Teeth - Jewellery Teeth Reshaping Teeth Whitening,200
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS, Fellowship in Dermatological Laser Surgery",11 years experience,97%,"Bannerghatta Road, Bangalore",Dermatologists,"97% 65 Feedback Bannerghatta Road, Bangalore",400
"MBBS, Member of the Royal College of Physicians, UK (MRCP UK), DNB, MNAMS- Family Medicine, MD - Medicine",24 years experience,,"Kodambakkam, Chennai",General Medicine,"3 Feedback Kodambakkam, Chennai ₹500",500
"MBBS, MD - General Medicine",38 years experience,99%,"Malleswaram, Bangalore",General Medicine,"99% 54 Feedback Malleswaram, Bangalore",500
"MBBS, MD - Dermatology , Venereology & Leprosy",8 years experience,,"Pallikaranai, Chennai",General Medicine,"1 Feedback Pallikaranai, Chennai ₹500",500
"BDS, MDS",12 years experience,99%,"Nallakunta, Hyderabad",Dentist,Crowns and Bridges Fixing Artificial Teeth BPS Dentures Fixing,200
"MDS - Prosthodontist And Crown Bridge, BDS",14 years experience,98%,"Paschim Vihar, Delhi",Dentist,Tooth Extraction Dental Fillings Scaling / Polishing,200
BHMS,5 years experience,,"Meera Bagh, Delhi",Homeopath,,150
BHMS,22 years experience,,"Chattarpur, Delhi",Homeopath,,200
"BHMS, MS - Psychology",14 years experience,100%,"HSR Layout, Bangalore",Homeopath,"100% 43 Feedback HSR Layout, Bangalore",200
"MDS - Oral & Maxillofacial Surgery, BDS",6 years experience,100%,"Andheri West, Mumbai",Dentist,Oral Surgery Procedures Oral & Maxillofacial Surgery Facial Trauma,500
"MBBS, DDVL, MD - Dermatology , Venereology & Leprosy",36 years experience,78%,"Himayat Nagar, Hyderabad",Dermatologists,"78% 24 Feedback Himayat Nagar, Hyderabad",500
"BHMS, Diploma In Skin Aesthetics",6 years experience,,"Adambakkam, Chennai",Homeopath,,150
"MBBS, MS - ENT",13 years experience,99%,"Punjabi Bagh, Delhi",ENT Specialist,"99% 44 Feedback Punjabi Bagh, Delhi",500
"MDS - Periodontology and Oral Implantology, Certificate in Cosmetic Dentistry, Post Graduate Certificate in Endodontics (PGCE), BDS, Fellow of Academy of General Education (FAGE)",13 years experience,93%,"Saket, Delhi",Dentist,Cosmetic/ Aesthetic Dentistry Smile Design Crowns and Bridges Fixing,300
"MBBS, MS - Otorhinolaryngology",11 years experience,,"Paschim Vihar, Delhi",ENT Specialist,,300
BHMS,18 years experience,,"Mahalaxmi, Mumbai",Homeopath,,100
MBBS,46 years experience,,"Kalina, Mumbai",General Medicine,,100
"MBBS, MD - Dermatology",41 years experience,87%,"Attapur, Hyderabad",Dermatologists,"87% 3 Feedback Attapur, Hyderabad",350
"MBBS, MD - Rheumatology",40 years experience,93%,"Lakdikapul, Hyderabad",General Medicine,"93% 9 Feedback Lakdikapul, Hyderabad",500
"BDS, MDS - Prosthodontist And Crown Bridge",7 years experience,,"Ambattur, Chennai",Dentist,Ceramic Veneers / Crowns Dental Fillings Tooth Extraction,100
"BDS, MDS - Paedodontics And Preventive Dentistry",13 years experience,98%,"Ramnagar, Coimbatore",Dentist,Laser Dentistry Teeth Whitening Smile Design,300
"MD - Dermatology, MBBS",12 years experience,97%,"Shalimar Bagh, Delhi",Dermatologists,"97% 47 Feedback Shalimar Bagh, Delhi",600
"MDS-Oral Pathology and Oral Microbiology, BDS",10 years experience,,"AS Rao Nagar, Hyderabad",Dentist,Dental Checkup (General) Crowns and Bridges Fixing BPS Dentures Fixing,200
"MBBS, MD - General Medicine, FRCP, Doctor of Science (DSc.), D.LITT - Diabetology",49 years experience,,"Nungambakkam, Chennai",General Medicine,Viral Fever Treatment Allergy Treatment Filaria Treatment,100
BDS,9 years experience,,"Miyapur, Hyderabad",Dentist,Orthodontics General Dentistry RCT - Single Sitting,250
BAMS,20 years experience,,"Sagarpur, Delhi",Ayurveda,,50
"MBBS, DDV",11 years experience,99%,"Girgaon, Mumbai",Dermatologists,"99% 43 Feedback Girgaon, Mumbai",100
"BDS, MDS - Conservative Dentistry & Endodontics",10 years experience,100%,"Jayanagar, Bangalore",Dentist,Crowns and Bridges Fixing Impaction / Impacted Tooth Extraction Conservative Dentistry,200
"MBBS, MD - General Medicine",16 years experience,,"Palayam, Thiruvananthapuram",General Medicine,,150
"BDS, MDS - Conservative Dentistry & Endodontics, FICD",24 years experience,99%,"Munirka, Delhi",Dentist,Crowns and Bridges Fixing Complete/Partial Dentures Fixing Tooth Extraction,500
"MBBS, MD - Dermatology , Venereology & Leprosy",33 years experience,,"Tuglakabad, Delhi",Dermatologists,,700
"MD - Dermatology , Venereology & Leprosy",10 years experience,94%,"Porur, Chennai",Dermatologists,"94% 7 Feedback Porur, Chennai",250
MBBS,36 years experience,,"Moosarambagh, Hyderabad",General Medicine,,50
"BAMS, Post Graduate Diploma in Emergency Services (PGDEMS)",8 years experience,,"Dahisar West, Mumbai",Ayurveda,,50
Get inspired by remarkable stories of people like you,0 years experience,,,Dermatologists,,100
"BAMS, MD - Acupuncture, Master of Hospital Administration, MS - Psychology",15 years experience,,"Anna Nagar East, Chennai",Ayurveda,,250
"BDS, MDS - Periodontology and Oral Implantology",7 years experience,100%,"Andheri West, Mumbai",Dentist,Dental Implant Fixing Flap Surgery Gum Disease Treatment/ Surgery,200
"BDS, MDS - Conservative Dentistry & Endodontics, Fellow of Academy of General Education (FAGE), BA",12 years experience,100%,"Bandra West, Mumbai",Dentist,Impaction / Impacted Tooth Extraction Conservative Dentistry Cosmetic/ Aesthetic Dentistry,500
BHMS,12 years experience,100%,"Kanakpura Road, Bangalore",Homeopath,Pediaterics Skin Disorder Kidney Stone Treatment,500
"MD - Dermatology , Venereology & Leprosy, MBBS",13 years experience,97%,"Green Park, Delhi",Dermatologists,General dermatology Botox Injections Skin Boosters and Fillers,700
"MBBS, DDVL",24 years experience,,"Maduravoyal, Chennai",Dermatologists,,200
BAMS,27 years experience,,"Dahisar East, Mumbai",Ayurveda,,100
"BDS, MDS - Periodontics",12 years experience,98%,"Moosapet, Hyderabad",Dentist,Flap Surgery Dental Implant Fixing Periodontal Flap Surgery,200
"BHMS, MD - Homeopathy",9 years experience,,"Yelahanka New Town, Bangalore",Homeopath,,500
"BDS, PGD in Endodontics",16 years experience,100%,"Koramangala, Bangalore",Dentist,Cosmetic/ Aesthetic Dentistry Dental Implant Fixing Impaction / Impacted Tooth Extraction,200
"BDS, MDS - Pedodontics",22 years experience,99%,"TV Medical College, Thiruvananthapuram",Dentist,"99% 33 Feedback TV Medical College, Thiruvananthapuram",200
"BDS, MDS - Periodontology and Oral Implantology",20 years experience,100%,"Mogappair East, Chennai",Dentist,"100% 51 Feedback Mogappair East, Chennai",100
"PhD - Orthodontics & Dentofacial Orthopaedics, MOrth",30 years experience,98%,"Kadavanthra, Ernakulam",Dentist,"98% 18 Feedback Kadavanthra, Ernakulam",300
"MBBS, FRCP",52 years experience,,"Greams Road, Chennai",General Medicine,,100
"MBBS, MS - Otorhinolaryngology",13 years experience,90%,"Bommanahalli, Bangalore",ENT Specialist,"90% 23 Feedback Bommanahalli, Bangalore",350
"BDS, MDS - Periodontics",19 years experience,,"T Nagar, Chennai",Dentist,Ceramic Veneers / Crowns Tooth Extraction Oral Surgery Procedures,300
"BAMS, MS - Ayurveda",16 years experience,100%,"Yelahanka, Bangalore",Ayurveda,"100% 3 Feedback Yelahanka, Bangalore",300
BDS,10 years experience,,"Hazrat Nizamuddin, Delhi",Dentist,"Hazrat Nizamuddin, Delhi ₹250 Available Today",250
"MRCPS, MBBS",60 years experience,,"Old Rajendra Nagar, Delhi",General Medicine,,100
BAMS,12 years experience,96%,"Dadar West, Mumbai",Ayurveda,"96% 30 Feedback Dadar West, Mumbai",100
"MBBS, Diploma in Dermatology",11 years experience,90%,"Indiranagar, Bangalore",Dermatologists,"90% 13 Feedback Indiranagar, Bangalore",500
"BDS, P.G Diploma in Aesthetic Dentistry",15 years experience,100%,"Perumbakkam, Chennai",Dentist,Artificial Teeth Impaction / Impacted Tooth Extraction BPS Dentures Fixing,200
"MDS - Conservative Dentistry & Endodontics, BDS",6 years experience,100%,"Arekere, Bangalore",Dentist,,250
"MBBS, MD - General Medicine",5 years experience,,"Shaikpet, Hyderabad",General Medicine,Piles Treatment (Non Surgical) Skin Allergies Viral Fever Treatment,500
BDS,9 years experience,,"Vyttila, Ernakulam",Dentist,,200
"MBBS, DDV",21 years experience,95%,"Khar West, Mumbai",Dermatologists,"95% 84 Feedback Khar West, Mumbai",100
BDS,7 years experience,,"Kadavanthra, Ernakulam",Dentist,,250
"MD - Ayurveda Medicine, BAMS",20 years experience,,"Goregaon West, Mumbai",Ayurveda,,500
"BAMS, MS - Ayurveda",10 years experience,,"Bakkarwala, Delhi",Ayurveda,,150
BHMS,12 years experience,,"Nesapakkam, Chennai",Homeopath,,100
BHMS,12 years experience,,"Malleswaram, Bangalore",Homeopath,Skin Allergy Treatment Skin Tag Treatment Dark Circle Removal,500
BHMS,26 years experience,82%,"BTM Layout 2nd Stage, Bangalore",Homeopath,"82% 15 Feedback BTM Layout 2nd Stage, Bangalore",200
"MBBS, Diploma in Otorhinolaryngology (DLO)",31 years experience,,"Ashok Nagar, Chennai",ENT Specialist,,200
"MBBS, DDV",15 years experience,95%,"Chandivali, Mumbai",Dermatologists,"95% 18 Feedback Chandivali, Mumbai",600
"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",11 years experience,,"Uttam Nagar, Delhi",General Medicine,,300
BDS,11 years experience,100%,"Gujranwala Town, Delhi",Dentist,Dental Implant RCT - Root Canal Treatment Laser Dentistry,300
MBBS,5 years experience,,"Greater Kailash Part 1, Delhi",General Medicine,Diabetes Management Health Checkup (General) Viral Fever Treatment,800
"MS - General Surgery, Diploma in Otorhinolaryngology (DLO)",24 years experience,,"Kodambakkam, Chennai",ENT Specialist,,300
"DDVL, Diploma in Health Administration, MD - Dermatology, MBBS",13 years experience,90%,"Defence Colony, Delhi",Dermatologists,"90% 55 Feedback Defence Colony, Delhi",100
"MBBS, MD - Dermatology",12 years experience,,"Panchsheel Park, Delhi",Dermatologists,"Panchsheel Park, Delhi ₹800 Available Tomorrow",800
BDS,5 years experience,98%,"Thoraipakkam, Chennai",Dentist,Acrylic Partial Denture Crowns and Bridges Fixing Artificial Teeth,200
BHMS,8 years experience,100%,"South Extension 2, Delhi",Homeopath,"100% 9 Feedback South Extension 2, Delhi",350
"MBBS, MD - Skin & VD, FAMS - Fellowship of the Academy Medicine",8 years experience,,"Kandivali East, Mumbai",Dermatologists,,100
MBBS,35 years experience,,"Andheri West, Mumbai",General Medicine,,200
"MBBS, Diploma in Dermatology",24 years experience,,"Malleswaram, Bangalore",Dermatologists,,300
"MBBS, DDVL",14 years experience,89%,"Indiranagar, Bangalore",Dermatologists,"89% 112 Feedback Indiranagar, Bangalore",500
"MBBS, MD - Internal Medicine, DNB - Internal Medicine",19 years experience,89%,"KPHB, Hyderabad",General Medicine,Chronic Pain Treatment Plantar Fascitis Irritable Bowel Syndrome ( IBS ) Treatment,400
"MD - General Medicine, MBBS",34 years experience,100%,"Borivali West, Mumbai",General Medicine,"100% 2 Feedback Borivali West, Mumbai",100
"MBBS, MS - ENT, DNB - ENT, FRCS - General Surgery",21 years experience,74%,"Pallikaranai, Chennai",ENT Specialist,Functional Endoscopic Sinus Surgery - FESS Skull Base Surgery Ear Micro Surgery,500
MBBS,13 years experience,96%,"Jubilee Hills, Hyderabad",General Medicine,"96% 20 Feedback Jubilee Hills, Hyderabad",750
"MBBS, MS - ENT",39 years experience,86%,"Pitampura, Delhi",ENT Specialist,"86% 15 Feedback Pitampura, Delhi",800
"MBBS, Diploma in Otorhinolaryngology (DLO)",35 years experience,100%,"Banashankari 3rd Stage, Bangalore",ENT Specialist,"100% 1 Feedback Banashankari 3rd Stage, Bangalore",200
"BHMS, MD - Homeopathy",36 years experience,,"Kolenchery, Ernakulam",Homeopath,,250
"MBBS, Diploma in Otorhinolaryngology (DLO), MRCS (UK)",19 years experience,100%,"Kumaraswamy Layout, Bangalore",ENT Specialist,"100% 9 Feedback Kumaraswamy Layout, Bangalore",300
"MBBS, DDVL",10 years experience,89%,"Vadapalani, Chennai",Dermatologists,Dermabrasion Chemical Peel Scar Treatment,800
"MBBS, DNB - ENT",7 years experience,,"Manikonda, Hyderabad",ENT Specialist,,300
MBBS,32 years experience,,"Gandhipuram, Coimbatore",General Medicine,,150
BDS,18 years experience,92%,"Yeshwanthpur, Bangalore",Dentist,Cosmetic/ Aesthetic Dentistry Dental Implant Fixing Presurgical Orthodontics,400
"BHMS, MD - Homeopathy, PhD - Homoeopathy",17 years experience,99%,"Ayanavaram, Chennai",Homeopath,Skin Disease Treatment Kidney Stone Treatment Gall Bladder (Biliary) Stone Treatment,100
"BDS, Certificate in Dental Implants, MDS - Orthodontics and Dentofacial Orthopaedics",9 years experience,100%,"Vyttila, Ernakulam",Dentist,"100% 5 Feedback Vyttila, Ernakulam",300
BAMS,5 years experience,100%,"Basaveshwaranagar, Bangalore",Ayurveda,"100% 17 Feedback Basaveshwaranagar, Bangalore",200
BHMS,20 years experience,,"Malad West, Mumbai",Homeopath,,100
BAMS,9 years experience,,"Vikas Puri, Delhi",Ayurveda,,300
DHMS (Diploma in Homeopathic Medicine and Surgery),35 years experience,100%,"T Nagar, Chennai",Homeopath,"100% 4 Feedback T Nagar, Chennai",500
"MBBS, MS - ENT",17 years experience,95%,"HSR Layout, Bangalore",ENT Specialist,Reconstructive Middle Ear Surgery Congenital Ear Problem Treatment Surgery for Snoring,500
"BDS, MDS - Periodontology and Oral Implantology",6 years experience,,"Kondapur, Hyderabad",Dentist,,200
BDS,10 years experience,100%,"Andheri East, Mumbai",Dentist,Crowns and Bridges Fixing Cosmetic/ Aesthetic Dentistry Tooth Extraction,300
"MBBS, MS - ENT",5 years experience,100%,"Sulur, Coimbatore",ENT Specialist,"100% 3 Feedback Sulur, Coimbatore",100
MBBS,36 years experience,95%,"Adyar, Chennai",General Medicine,"95% 5 Feedback Adyar, Chennai",600
"BDS, MDS - Periodontics",19 years experience,94%,"Indiranagar, Bangalore",Dentist,Cosmetic/ Aesthetic Dentistry Complete/Partial Dentures Fixing Tooth Extraction,100
BAMS,11 years experience,,"Krishna Nagar, Delhi",Ayurveda,,300
BDS,12 years experience,99%,"Langer House, Hyderabad",Dentist,Acrylic Partial Denture Crowns and Bridges Fixing Artificial Teeth,150
"MBBS, MD - Dermatology",17 years experience,80%,"Thiruvanmiyur, Chennai",Dermatologists,"80% 3 Feedback Thiruvanmiyur, Chennai",400
"MBBS, MD - Dermatology",18 years experience,96%,"Malleswaram, Bangalore",Dermatologists,,500
"MDS - Oral & Maxillofacial Surgery, BDS",7 years experience,,"Dwarka, Delhi",Dentist,Wisdom Tooth Extraction Oral & Maxillofacial Surgery Maxilla Fracture Treatment,300
BDS,14 years experience,,"Powai, Mumbai",Dentist,"Teeth Whitening 1 Feedback Powai, Mumbai",200
BAMS,0 years experience,,"Bhandup West, Mumbai",Ayurveda,,100
"MBBS, DNB - Family Medicine",12 years experience,95%,"Janak Puri, Delhi",General Medicine,"95% 67 Feedback Janak Puri, Delhi",400
"MBBS, MD - General Medicine",28 years experience,83%,"Rajajinagar, Bangalore",General Medicine,"83% 3 Feedback Rajajinagar, Bangalore",200
BHMS,9 years experience,100%,"South Extension 1, Delhi",Homeopath,"100% 48 Feedback South Extension 1, Delhi",200
BAMS,18 years experience,,"Borivali West, Mumbai",Ayurveda,,300
"MS - ENT, DNB - ENT, Diploma in Otorhinolaryngology (DLO)",28 years experience,96%,"Kemps Corner, Mumbai",ENT Specialist,"96% 15 Feedback Kemps Corner, Mumbai",100
"PhD - Orthodontics & Dentofacial Orthopaedics, BDS",16 years experience,93%,"Peelamedu, Coimbatore",Dentist,"93% 11 Feedback Peelamedu, Coimbatore",200
"BHMS, MD - Homeopathy, MS - Psychology",7 years experience,100%,"Kandivali West, Mumbai",Homeopath,"100% 11 Feedback Kandivali West, Mumbai",500
"BDS, MS - Pediatric",11 years experience,98%,"Thevara, Ernakulam",Dentist,"98% 4 Feedback Thevara, Ernakulam",100
"MBBS, MD - General Medicine, Member of the Royal Society for the Promotion of Health (UK) (MRSH), Post Graduate Diploma in Endocrinology",27 years experience,88%,"Wilson Garden, Bangalore",General Medicine,"88% 9 Feedback Wilson Garden, Bangalore",300
"MBBS, DDV",18 years experience,76%,"RT Nagar, Bangalore",Dermatologists,"76% 4 Feedback RT Nagar, Bangalore",400
"BAMS, MD - Ayurveda Medicine",32 years experience,,"Wadala, Mumbai",Ayurveda,,300
MBBS,32 years experience,,"Pahar Ganj, Delhi",General Medicine,,500
"BAMS, MD - Ayurveda Medicine",12 years experience,,"Chanchalguda, Hyderabad",Ayurveda,,150
BHMS,15 years experience,,"Chikkadpally, Hyderabad",Homeopath,,600
MBBS,58 years experience,92%,"Old Rajendra Nagar, Delhi",General Medicine,"92% 12 Feedback Old Rajendra Nagar, Delhi",100
"MD - Internal Medicine, Post Graduate Diploma in Diabetology (PGDD), MBBS",17 years experience,85%,"Andheri East, Mumbai",General Medicine,"85% 1 Feedback Andheri East, Mumbai",100
MDS - Oral & Maxillofacial Surgery,13 years experience,,"Pasur-avanashi, Coimbatore",Dentist,,100
"BDS, MDS - Prosthodontics",5 years experience,100%,"Kandivali West, Mumbai",Dentist,Dental Crowns Facet Dental Dental X-Ray,100
"MBBS, DDV",20 years experience,,"Nagarbhavi, Bangalore",Dermatologists,,300
"MS - ENT, MBBS",31 years experience,92%,"Old Rajendra Nagar, Delhi",ENT Specialist,"92% 20 Feedback Old Rajendra Nagar, Delhi",800
"MBBS, MD - Dermatology , Venereology & Leprosy",10 years experience,,"Lajpat Nagar, Delhi",Dermatologists,,500
MBBS,42 years experience,,"Mayur Vihar Ph-I, Delhi",General Medicine,,250
"BDS, MDS",13 years experience,95%,"Manikonda, Hyderabad",Dentist,Acrylic Partial Denture Artificial Teeth Crowns and Bridges Fixing,200
"DHMS (Diploma in Homeopathic Medicine and Surgery), M.Sc.- Clinical Nutrition and Dietetics, MSc - Psychotherapy And Counselling",27 years experience,,"Indiranagar, Bangalore",Homeopath,,500
"MBBS, MD - Dermatology , Venereology & Leprosy",4 years experience,,"Kondapur, Hyderabad",Dermatologists,,500
MD - Ayurveda Medicine,16 years experience,,"Dilshad Garden, Delhi",Ayurveda,,300
"MBBS, MS - ENT, MRCS (UK)",18 years experience,95%,"Janak Puri, Delhi",ENT Specialist,"Endoscopy of throat , nose , ear Cancer checkup for ear, nose, throat Ear Cleaning (Painless Method)",600
"MBBS, DDVL",15 years experience,96%,"Porur, Chennai",Dermatologists,"96% 48 Feedback Porur, Chennai",450
BDS,5 years experience,,"Pallikaranai, Chennai",Dentist,Tooth Pain Teeth Whitening Dental Fillings,300
BHMS,11 years experience,,"Whitefield, Bangalore",Homeopath,,400
BAMS,26 years experience,,"Vijayanagar, Bangalore",Ayurveda,,100
"BAMS, MS (Shalyatantra), MSc - Yoga",14 years experience,,"Arekere, Bangalore",Ayurveda,,250
BAMS,6 years experience,,"Whitefield, Bangalore",Ayurveda,Kidney Stone Treatment Allergy Treatment Cognitive Behavioral Therapy (CBT),250
"MBBS, MS - ENT, DLO",27 years experience,,"Alwarpet, Chennai",ENT Specialist,,700
BAMS,8 years experience,,"Pappanamcode, Thiruvananthapuram",Ayurveda,,150
"MBBS, MS - ENT, DNB - ENT",9 years experience,97%,"Aluva, Ernakulam",ENT Specialist,"97% 40 Feedback Aluva, Ernakulam",300
"BDS, Post Graduate Diploma in Advanced Implantology",15 years experience,,"Nariman Point, Mumbai",Dentist,Osseointegrated implants Advanced surgery in Implantology Implant Retained Dentures,500
BDS,7 years experience,98%,"Kilkattalai, Chennai",Dentist,Tooth Extraction Cosmetic/ Aesthetic Dentistry Crowns and Bridges Fixing,80
"MBBS, MD - Dermatology",14 years experience,,"Dilsukhnagar, Hyderabad",Dermatologists,,300
MBBS,45 years experience,,"Kurla West, Mumbai",General Medicine,,50
"MBBS, MD - Alternate Medicine, Post Graduate Diploma in Counselling & Psychotherapy, MS - Counselling & Psychotherapy, PhD - Alternative Medicine",21 years experience,56%,"Begumpet, Hyderabad",General Medicine,"56% 17 Feedback Begumpet, Hyderabad",100
BDS,14 years experience,96%,"Kaloor, Ernakulam",Dentist,"96% 2 Feedback Kaloor, Ernakulam",100
"BDS, Fellowship in Oral implantlogy",6 years experience,,"Ramnagar, Coimbatore",Dentist,,200
"MBBS, MD - Dermatology",8 years experience,97%,"Indiranagar, Bangalore",Dermatologists,"97% 39 Feedback Indiranagar, Bangalore",500
