,Qualification,Experience,Rating,Place,Profile,Fees
125,"MBBS,DDV",15,95,Mumbai,Unknown,600
126,"MD,MBBS",11,0,Delhi,Unknown,300
127,BDS,11,100,Delhi,Dentist,300
128,MBBS,5,0,Delhi,Unknown,800
129,DLO,24,0,Chennai,Unknown,300
130,"MD,MBBS,DDVL,DDV",13,90,Delhi,Unknown,100
131,"MD,MBBS",12,0,Delhi,Unknown,800
132,BDS,5,98,Chennai,Unknown,200
133,BHMS,8,100,Delhi,Unknown,350
134,"MD,MBBS",8,0,Mumbai,Unknown,100
135,MBBS,35,0,Mumbai,Unknown,200
136,"MBBS,Diploma in Dermatology",24,0,Bangalore,Unknown,300
137,"MBBS,DDVL,DDV",14,89,Bangalore,Unknown,500
138,"MD,MBBS,DNB",19,89,Hyderabad,Unknown,400
139,"MD,MBBS",34,100,Mumbai,Unknown,100
140,"MBBS,DNB",21,74,Chennai,Unknown,500
141,MBBS,13,96,Hyderabad,Unknown,750
142,MBBS,39,86,Delhi,Unknown,800
143,"MBBS,DLO",35,100,Bangalore,Unknown,200
144,"MD,BHMS",36,0,Ernakulam,Unknown,250
145,"MBBS,DLO",19,100,Bangalore,Unknown,300
146,"MBBS,DDVL,DDV",10,89,Chennai,Unknown,800
147,"MBBS,DNB",7,0,Hyderabad,Unknown,300
148,MBBS,32,0,Coimbatore,Unknown,150
149,BDS,18,92,Bangalore,Dentist,400
150,"MD,BHMS,PhD",17,99,Chennai,Unknown,100
151,"MD,BDS,MDS",9,100,Ernakulam,Unknown,300
152,BAMS,5,100,Bangalore,Unknown,200
153,BHMS,20,0,Mumbai,Unknown,100
154,BAMS,9,0,Delhi,Unknown,300
155,MS,35,100,Chennai,Unknown,500
156,MBBS,17,95,Bangalore,Unknown,500
157,"MD,BDS,MDS",6,0,Hyderabad,Unknown,200
158,BDS,10,100,Mumbai,Dentist,300
159,MBBS,5,100,Coimbatore,Unknown,100
160,MBBS,36,95,Chennai,Unknown,600
161,"MD,BDS,MDS",19,94,Bangalore,Dentist,100
162,BAMS,11,0,Delhi,Unknown,300
163,BDS,12,99,Hyderabad,Unknown,150
164,"MD,MBBS",17,80,Chennai,Unknown,400
165,"MD,MBBS",18,96,Bangalore,Unknown,500
166,"MD,BDS,MDS",7,0,Delhi,Unknown,300
167,BDS,14,0,Mumbai,Unknown,200
168,BAMS,0,0,Mumbai,Unknown,100
169,"MBBS,DNB",12,95,Delhi,Unknown,400
170,"MD,MBBS",28,83,Bangalore,Unknown,200
171,BHMS,9,100,Delhi,Unknown,200
172,BAMS,18,0,Mumbai,Unknown,300
173,"DNB,DLO",28,96,Mumbai,Unknown,100
174,"BDS,PhD",16,93,Coimbatore,Unknown,200
175,"MD,BHMS",7,100,Mumbai,Unknown,500
176,BDS,11,98,Ernakulam,Unknown,100
177,"MD,MBBS",27,88,Bangalore,Unknown,300
178,"MBBS,DDV",18,76,Bangalore,Unknown,400
179,"MD,BAMS",32,0,Mumbai,Unknown,300
180,MBBS,32,0,Delhi,Unknown,500
181,"MD,BAMS",12,0,Hyderabad,Unknown,150
182,BHMS,15,0,Hyderabad,Unknown,600
183,MBBS,58,92,Delhi,Unknown,100
184,"MD,MBBS",17,85,Mumbai,Unknown,100
185,"MD,MDS",13,0,Coimbatore,Unknown,100
186,"MD,BDS,MDS",5,100,Mumbai,Unknown,100
187,"MBBS,DDV",20,0,Bangalore,Unknown,300
188,MBBS,31,92,Delhi,Unknown,800
189,"MD,MBBS",10,0,Delhi,Unknown,500
190,MBBS,42,0,Delhi,Unknown,250
191,"MD,BDS,MDS",13,95,Hyderabad,Unknown,200
192,MS,27,0,Bangalore,Unknown,500
193,"MD,MBBS",4,0,Hyderabad,Unknown,500
194,MD,16,0,Delhi,Unknown,300
195,MBBS,18,95,Delhi,Unknown,600
196,"MBBS,DDVL,DDV",15,96,Chennai,Unknown,450
197,BDS,5,0,Chennai,Unknown,300
198,BHMS,11,0,Bangalore,Unknown,400
199,BAMS,26,0,Bangalore,Unknown,100
200,BAMS,14,0,Bangalore,Unknown,250
201,BAMS,6,0,Bangalore,Unknown,250
202,"MBBS,DLO",27,0,Chennai,Unknown,700
203,BAMS,8,0,Thiruvananthapuram,Unknown,150
204,"MBBS,DNB",9,97,Ernakulam,Unknown,300
205,BDS,15,0,Mumbai,Unknown,500
206,BDS,7,98,Chennai,Dentist,80
207,"MD,MBBS",14,0,Hyderabad,Unknown,300
208,MBBS,45,0,Mumbai,Unknown,50
209,"MD,MBBS,PhD",21,56,Hyderabad,Unknown,100
210,BDS,14,96,Ernakulam,Unknown,100
211,BDS,6,0,Coimbatore,Unknown,200
212,"MD,MBBS",8,97,Bangalore,Unknown,500
213,MBBS,27,0,Delhi,Unknown,100
214,BAMS,44,0,Mumbai,Unknown,50
215,BHMS,11,0,Hyderabad,Unknown,450
216,"MBBS,DDVL,DDV",11,80,Hyderabad,Unknown,300
217,BHMS,28,0,Mumbai,Unknown,250
218,"MD,MBBS",30,0,Coimbatore,Unknown,100
219,BHMS,16,100,Mumbai,Unknown,100
220,BDS,11,99,Mumbai,Unknown,200
221,MBBS,17,93,Hyderabad,Unknown,300
222,"MD,MBBS,DNB",15,100,Mumbai,Unknown,800
223,BDS,8,0,Bangalore,Unknown,100
224,GCEH,33,0,Mumbai,Unknown,100
225,MBBS,30,99,Mumbai,Unknown,400
226,BHMS,3,0,Delhi,Unknown,700
227,BDS,4,0,Thiruvananthapuram,Unknown,100
228,"MBBS,DNB",27,0,Chennai,Unknown,100
229,BHMS,16,0,Mumbai,Unknown,600
230,BDS,21,0,Bangalore,Unknown,200
231,MS,37,0,Chennai,Unknown,200
232,BHMS,19,0,Delhi,Unknown,100
233,BAMS,15,0,Mumbai,Unknown,200
234,MS,6,0,Mumbai,Unknown,500
235,"MD,BDS,MDS",25,95,Bangalore,Unknown,200
236,"MD,MBBS",40,0,Hyderabad,Unknown,500
237,MBBS,25,98,Delhi,Unknown,800
238,"MD,MBBS",9,0,Bangalore,Unknown,400
239,MBBS,16,94,Hyderabad,Unknown,500
240,BDS,46,98,Hyderabad,Dentist,200
241,"MD,MBBS",35,0,Delhi,Unknown,600
242,"MD,BDS,MDS",9,97,Mumbai,Dentist,500
243,"MBBS,DNB",30,0,Chennai,Unknown,500
244,"MBBS,DLO",41,0,Hyderabad,Unknown,100
245,"MD,BDS,MDS",15,99,Bangalore,Dentist,200
246,"MD,BHMS",11,97,Mumbai,Unknown,100
247,MBBS,9,99,Hyderabad,Unknown,500
248,BAMS,10,100,Chennai,Unknown,250
249,BHMS,18,0,Delhi,Unknown,200
250,BHMS,8,0,Mumbai,Unknown,60
251,MBBS,38,0,Delhi,Unknown,500
252,"MD,MBBS,DNB",33,80,Mumbai,Unknown,100
253,"MD,MBBS",9,94,Bangalore,Unknown,600
254,"MD,MBBS",27,0,Chennai,Unknown,200
255,BDS,9,0,Hyderabad,Dentist,300
256,BHMS,7,0,Mumbai,Unknown,350
257,"MBBS,DNB",32,0,Mumbai,Unknown,100
258,"MD,MBBS",21,93,Bangalore,Unknown,400
259,BHMS,28,100,Delhi,Unknown,300
260,MBBS,50,0,Chennai,Unknown,300
261,MBBS,44,98,Ernakulam,Unknown,400
262,"MBBS,DNB",5,0,Mumbai,Unknown,600
263,MBBS,4,100,Delhi,Unknown,300
264,MBBS,5,0,Chennai,Unknown,300
265,"MD,MBBS",21,100,Hyderabad,Unknown,500
266,"MD,BDS,MDS",9,99,Coimbatore,Unknown,200
267,MBBS,29,93,Hyderabad,Unknown,500
268,"MD,MBBS",10,100,Chennai,Unknown,200
269,"MD,BDS,MDS",14,97,Chennai,Dentist,200
270,BHMS,6,100,Bangalore,Unknown,300
271,"MD,BDS,MDS",18,0,Bangalore,Unknown,550
272,MBBS,17,91,Hyderabad,Unknown,550
273,"MD,BHMS",18,0,Mumbai,Unknown,500
274,BDS,15,99,Chennai,Unknown,200
275,"MD,MBBS",6,0,Delhi,Unknown,900
276,"MBBS,DDV,DNB",22,96,Bangalore,Unknown,500
277,"MD,BHMS",12,0,Mumbai,Unknown,100
278,"MD,MBBS",7,0,Chennai,Unknown,700
279,MS,27,96,Mumbai,Unknown,150
280,BDS,19,100,Chennai,Unknown,200
281,MBBS,24,0,Mumbai,Unknown,700
282,MBBS,10,93,Hyderabad,Unknown,300
283,MBBS,46,0,Chennai,Unknown,150
284,"MBBS,DNB",17,100,Bangalore,Unknown,150
285,MBBS,45,94,Bangalore,Unknown,400
286,BHMS,3,0,Bangalore,Unknown,300
287,BAMS,30,0,Chennai,Unknown,150
288,"MBBS,Diploma in Dermatology",28,97,Hyderabad,Unknown,500
289,MBBS,35,0,Bangalore,Unknown,100
290,BDS,8,0,Chennai,Unknown,200
291,"MD,BDS,MDS",19,94,Bangalore,Unknown,500
292,"MBBS,DLO",18,0,Chennai,Unknown,200
293,"MD,MBBS",29,100,Chennai,Unknown,950
294,"MD,BAMS",5,0,Mumbai,Unknown,500
295,MD,19,0,Delhi,Unknown,750
296,"MD,BDS,MDS",15,100,Chennai,Unknown,200
297,"MD,BDS,MDS",9,0,Mumbai,Dentist,100
298,"MD,MBBS",9,0,Ernakulam,Unknown,200
299,BHMS,8,0,Delhi,Unknown,250
300,"MBBS,Diploma in Dermatology",24,97,Chennai,Unknown,500
301,BAMS,17,0,Delhi,Unknown,300
302,BAMS,6,99,Bangalore,Unknown,100
303,BAMS,11,0,Mumbai,Unknown,100
304,MBBS,35,0,Chennai,Unknown,300
305,BAMS,28,0,Delhi,Unknown,300
306,MBBS,31,0,Delhi,Unknown,300
307,BDS,9,100,Hyderabad,Unknown,350
308,BHMS,23,0,Ernakulam,Unknown,200
309,MBBS,22,56,Chennai,Unknown,600
310,"MD,BDS,MDS",11,95,Bangalore,Unknown,200
311,MBBS,22,0,Hyderabad,Unknown,400
312,BAMS,25,0,Thiruvananthapuram,Unknown,100
313,BHMS,16,0,Mumbai,Unknown,450
314,BAMS,8,0,Hyderabad,Unknown,400
315,"MBBS,DNB",4,0,Hyderabad,Unknown,600
316,"MD,BDS,MDS",5,0,Coimbatore,Unknown,100
317,BHMS,10,0,Thiruvananthapuram,Unknown,200
318,"MD,MBBS",23,0,Delhi,Unknown,200
319,MBBS,43,0,Chennai,Unknown,100
320,BHMS,8,0,Chennai,Unknown,150
321,"MD,MBBS",37,95,Hyderabad,Unknown,700
322,"MD,MBBS",14,0,Coimbatore,Unknown,150
323,BDS,9,100,Chennai,Dentist,200
324,"MD,BAMS",14,95,Mumbai,Unknown,600
325,"MD,MBBS",54,0,Mumbai,Unknown,200
326,BHMS,14,0,Hyderabad,Unknown,500
327,"MD,MBBS",45,92,Delhi,Unknown,300
328,BDS,18,100,Mumbai,Dentist,200
329,"MBBS,DNB",6,0,Bangalore,Unknown,400
330,MBBS,25,88,Mumbai,Unknown,800
331,"MD,MBBS",28,0,Delhi,Unknown,400
332,MBBS,17,0,Bangalore,Unknown,300
333,"MD,MBBS",12,68,Hyderabad,Unknown,400
334,BHMS,7,100,Bangalore,Unknown,200
335,"MBBS,DDVL,DDV",12,0,Chennai,Unknown,250
336,MBBS,21,0,Mumbai,Unknown,350
337,"MBBS,DLO",17,0,Chennai,Unknown,300
338,"MD,BDS,MDS",9,99,Delhi,Unknown,600
339,"MD,BHMS",6,100,Bangalore,Unknown,300
340,"MD,BDS,MDS",5,0,Delhi,Unknown,200
341,"MBBS,DLO",5,0,Bangalore,Unknown,400
342,"BAMS,PhD",36,0,Delhi,Unknown,400
343,BHMS,22,0,Bangalore,Unknown,350
344,"MD,MBBS",6,0,Ernakulam,Unknown,150
345,"MBBS,DNB",21,94,Delhi,Unknown,500
346,"MD,MBBS",12,91,Hyderabad,Unknown,600
347,MBBS,37,0,Mumbai,Unknown,200
348,BSAM,35,0,Bangalore,Unknown,300
349,"MD,MBBS",13,98,Bangalore,Unknown,350
350,"MD,MBBS,DDV",35,96,Mumbai,Unknown,100
351,BDS,11,0,Hyderabad,Unknown,100
352,"MD,MBBS",15,0,Chennai,Unknown,300
353,MBBS,23,0,Mumbai,Unknown,500
354,"MD,MBBS",17,0,Bangalore,Unknown,400
355,"MD,BDS,MDS",19,99,Hyderabad,Dentist,500
356,BHMS,13,0,Delhi,Unknown,60
357,BAMS,28,0,Mumbai,Unknown,400
358,BAMS,14,0,Mumbai,Unknown,100
359,BHMS,10,0,Bangalore,Unknown,300
360,BDS,5,0,Bangalore,Unknown,100
361,"MD,MBBS",5,0,Delhi,Unknown,100
362,"MD,BDS,MDS",6,96,Hyderabad,Unknown,200
363,BDS,6,0,Thiruvananthapuram,Unknown,100
364,BDS,8,100,Mumbai,Dentist,300
365,"MD,MBBS",44,0,Bangalore,Unknown,200
366,BHMS,28,100,Hyderabad,Unknown,300
367,"MD,MBBS",12,98,Delhi,Unknown,300
368,MBBS,23,0,Delhi,Unknown,500
369,MBBS,27,0,Mumbai,Unknown,100
370,"MD,MBBS",8,0,Mumbai,Unknown,400
371,"MD,BDS,MDS",25,97,Bangalore,Unknown,200
372,"MBBS,DLO",66,0,Chennai,Unknown,100
373,BAMS,8,0,Thiruvananthapuram,Unknown,100
374,"MD,BAMS",12,96,Delhi,Unknown,300
375,BAMS,37,0,Delhi,Unknown,100
376,MBBS,37,0,Coimbatore,Unknown,100
377,MBBS,45,60,Chennai,Unknown,400
378,"MD,BAMS",22,0,Bangalore,Unknown,300
379,BDS,26,0,Coimbatore,Unknown,100
380,"MBBS,DLO",0,0,Mumbai,Unknown,100
381,BAMS,11,0,Chennai,Unknown,150
382,BHMS,14,0,Chennai,Unknown,500
383,BDS,0,0,Chennai,Dentist,100
384,MS,23,100,Mumbai,Unknown,600
385,MD,9,0,Mumbai,Unknown,100
386,"MD,MBBS",10,0,Hyderabad,Unknown,600
387,"MD,BDS,MDS",6,0,Chennai,Unknown,500
388,MBBS,19,88,Mumbai,Unknown,100
389,MBBS,34,0,Mumbai,Unknown,100
390,"MD,MBBS",9,0,Hyderabad,Unknown,100
391,MBBS,34,0,Coimbatore,Unknown,100
392,"MD,MBBS",37,0,Mumbai,Unknown,100
393,MBBS,17,85,Delhi,Unknown,500
394,MD,4,0,Coimbatore,Unknown,200
395,BAMS,12,0,Hyderabad,Unknown,100
396,"MD,MBBS",15,0,Chennai,Unknown,600
397,MBBS,14,100,Bangalore,Unknown,400
398,BAMS,20,0,Hyderabad,Unknown,250
399,"BDS,PhD",35,98,Chennai,Unknown,150
400,BAMS,8,100,Chennai,Unknown,500
401,"MD,BDS,MDS,PhD",20,98,Delhi,Unknown,500
402,BDS,8,0,Hyderabad,Unknown,200
403,MS,44,0,Hyderabad,Unknown,500
404,"MD,BAMS",28,0,Hyderabad,Unknown,200
405,"MD,MBBS",39,100,Bangalore,Unknown,430
406,"MD,MBBS",12,96,Delhi,Unknown,600
407,BHMS,3,0,Bangalore,Unknown,100
408,BAMS,19,0,Delhi,Unknown,80
409,BDS,0,0,Coimbatore,Unknown,100
410,BDS,20,93,Hyderabad,Unknown,200
411,"MBBS,DLO",44,0,Chennai,Unknown,100
412,BDS,12,98,Mumbai,Unknown,500
413,BDS,19,96,Chennai,Unknown,150
414,MBBS,9,83,Coimbatore,Unknown,150
415,"MD,MBBS",40,85,Delhi,Unknown,100
416,MD,5,0,Chennai,Unknown,100
417,"MD,MBBS,DNB",5,100,Mumbai,Unknown,100
418,"MD,MBBS",19,0,Delhi,Unknown,700
419,"MD,MBBS,Diploma in Dermatology",14,100,Mumbai,Unknown,800
420,"MD,MBBS",25,0,Bangalore,Unknown,100
421,BHMS,24,0,Mumbai,Unknown,50
422,"MD,BDS,MDS",9,100,Delhi,Unknown,200
423,MBBS,9,0,Hyderabad,Unknown,250
424,"MBBS,M.D.",30,0,Chennai,Unknown,100
425,"MD,MBBS",21,85,Delhi,Unknown,500
426,BAMS,14,100,Delhi,Unknown,250
427,MBBS,7,0,Mumbai,Unknown,100
428,"MBBS,DDVL,DDV",13,97,Delhi,Unknown,400
429,MBBS,26,93,Bangalore,Unknown,600
430,"MD,BDS,MDS",9,0,Hyderabad,Unknown,200
431,"MBBS,DDVL,DDV",13,100,Chennai,Unknown,500
432,MBBS,17,97,Bangalore,Unknown,300
433,"MD,MBBS",10,97,Delhi,Unknown,600
434,BDS,18,96,Bangalore,Unknown,300
435,"MD,BDS,MDS",10,97,Bangalore,Unknown,300
436,BAMS,7,100,Chennai,Unknown,300
437,"MBBS,DNB",21,0,Mumbai,Unknown,100
438,MBBS,10,0,Bangalore,Unknown,300
439,"MD,MBBS",22,0,Hyderabad,Unknown,350
440,"MD,BDS,MDS",19,100,Hyderabad,Unknown,500
441,MBBS,45,0,Hyderabad,Unknown,150
442,BDS,13,90,Delhi,Unknown,200
443,BAMS,19,0,Hyderabad,Unknown,300
444,BHMS,5,0,Bangalore,Unknown,700
445,"MBBS,DNB,DLO",15,99,Bangalore,Unknown,350
446,MBBS,7,0,Hyderabad,Unknown,250
447,BHMS,12,0,Delhi,Unknown,100
448,BDS,17,100,Bangalore,Unknown,300
449,"MBBS,DNB",6,0,Bangalore,Unknown,400
450,"MBBS,DNB",13,100,Bangalore,Unknown,500
451,"MD,MBBS",14,98,Hyderabad,Unknown,400
452,"MD,BDS,MDS",5,0,Mumbai,Unknown,100
453,"MD,MBBS",21,0,Chennai,Unknown,500
454,"MBBS,DNB",8,0,Mumbai,Unknown,100
455,BAMS,26,88,Bangalore,Unknown,150
456,MBBS,37,100,Delhi,Unknown,600
457,"MD,BDS,MDS",19,96,Delhi,Dentist,500
458,BDS,23,75,Delhi,Unknown,400
459,"MBBS,DLO",33,0,Bangalore,Unknown,300
460,"MD,BDS,MDS",24,95,Hyderabad,Unknown,100
461,"MBBS,DLO",19,0,Bangalore,Unknown,250
462,MBBS,37,0,Chennai,Unknown,150
463,"MBBS,DNB",13,100,Chennai,Unknown,500
464,MBBS,17,0,Mumbai,Unknown,50
465,"MD,MBBS",15,69,Mumbai,Unknown,100
466,"MD,BDS,MDS",19,98,Bangalore,Unknown,250
467,"MD,BDS,MDS",12,97,Chennai,Unknown,200
468,BDS,8,0,Mumbai,Dentist,100
469,"MD,MBBS",24,0,Chennai,Unknown,300
470,"MD,MBBS",43,0,Chennai,Unknown,400
471,"MBBS,DDV",19,92,Coimbatore,Unknown,200
472,"MBBS,DNB,Diploma in Dermatology",9,93,Mumbai,Unknown,500
473,"MD,BDS,MDS",7,0,Delhi,Unknown,250
474,BHMS,3,0,Bangalore,Unknown,100
475,"MD,BAMS",21,0,Mumbai,Unknown,300
476,BHMS,6,0,Bangalore,Unknown,200
477,BDS,13,99,Mumbai,Unknown,300
478,"MD,MBBS,DDV",36,95,Mumbai,Unknown,100
479,BAMS,14,0,Hyderabad,Unknown,200
480,MBBS,34,0,Delhi,Unknown,250
481,BAMS,15,0,Bangalore,Unknown,350
482,MBBS,32,0,Bangalore,Unknown,300
483,"MD,MBBS",10,0,Delhi,Unknown,300
484,BDS,7,0,Bangalore,Unknown,200
485,BAMS,30,0,Delhi,Unknown,200
486,BHMS,6,0,Bangalore,Unknown,250
487,"MD,BHMS",14,94,Mumbai,Unknown,500
488,MBBS,5,100,Hyderabad,Unknown,200
489,BHMS,8,98,Hyderabad,Unknown,100
490,MBBS,22,0,Chennai,Unknown,400
491,BDS,23,94,Ernakulam,Unknown,100
492,MBBS,40,0,Chennai,Unknown,100
493,BDS,21,97,Bangalore,Unknown,100
494,"MD,BHMS",8,0,Delhi,Unknown,100
495,"MD,BDS,MDS",3,0,Chennai,Unknown,250
496,BDS,4,100,Mumbai,Dentist,300
497,MBBS,33,0,Delhi,Unknown,550
498,BAMS,8,0,Ernakulam,Unknown,100
499,BDS,4,0,Chennai,Unknown,100
500,BHMS,15,0,Mumbai,Unknown,50
501,MBBS,25,0,Hyderabad,Unknown,200
502,Get inspired by remarkable stories of people like you,0,0,Unknown,Unknown,100
503,"MBBS,DLO",28,0,Coimbatore,Unknown,250
504,MBBS,26,0,Bangalore,Unknown,450
505,"MD,MBBS",7,100,Hyderabad,Unknown,400
506,"MD,BDS,MDS",4,0,Hyderabad,Dentist,500
507,"MD,MBBS",4,100,Hyderabad,Unknown,500
508,"MD,MBBS,Diploma in Dermatology",36,95,Mumbai,Unknown,100
509,BAMS,8,0,Delhi,Unknown,300
510,"MD,BDS,MDS",36,0,Delhi,Unknown,250
511,"MBBS,M.D.",33,0,Chennai,Unknown,100
512,"MD,BHMS",26,97,Mumbai,Unknown,100
513,BHMS,6,0,Chennai,Unknown,300
514,"BAMS,PhD",18,0,Bangalore,Unknown,400
515,"MD,MBBS",12,0,Mumbai,Unknown,100
516,BDS,6,0,Hyderabad,Unknown,200
517,BHMS,16,0,Delhi,Unknown,500
518,MBBS,27,0,Hyderabad,Unknown,100
519,"MD,BDS,MDS",9,0,Coimbatore,Unknown,100
520,"MBBS,DLO",6,0,Mumbai,Unknown,500
521,BDS,13,0,Chennai,Unknown,200
522,"MD,BHMS",23,0,Delhi,Unknown,100
523,BAMS,13,0,Delhi,Unknown,100
